Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,Reference
IXE,1.48764609,0.152645907,14.4982,0.147656193,14.98813453,0.860846213,0,DEUCRAVA
MTX,0.131013431,0.005867179,2.925514751,0.005607122,3.061199801,0.631051762,0,DEUCRAVA
NETA,1.295181908,0.026403544,63.5329932,0.024945024,67.24772776,0.503479636,0,DEUCRAVA
PBO,1.644444444,0.174992437,15.45322517,0.169362254,15.96694347,0.874837871,0,DEUCRAVA
RISAN,1.191656885,0.121513947,11.68628106,0.117531171,12.08229373,0.858492825,0,DEUCRAVA
SECU,1.741459744,0.181020674,16.75323582,0.175136574,17.31609779,0.865774964,0,DEUCRAVA
SONELO,2.027826348,0.12920107,31.8269786,0.124111439,33.13215713,0.711860134,0,DEUCRAVA
TILDRA,1.305802323,0.121696111,14.01129167,0.117552876,14.50512963,0.825942728,0,DEUCRAVA
USK,1.583729413,0.16424615,15.270975,0.158901964,15.78456794,0.864894818,0,DEUCRAVA
ADA,1.244543336,0.050299804,30.7931241,0.047998373,32.269596,0.610873024,0,NETA
APRE,1.253817603,0.049071118,32.03633113,0.046803932,33.5881736,0.604811779,0,NETA
BIME,0.656183837,0.025016096,17.21200729,0.023851163,18.05267254,0.599953192,0,NETA
BRODA,1.308782783,0.052034361,32.91887034,0.049641663,34.50553991,0.607761638,0,NETA
CERTO,0.88738145,0.03318489,23.72904806,0.031630664,24.89501464,0.596437147,0,NETA
DEUCRAVA,0.772092317,0.015739853,37.8737038,0.014870391,40.08815568,0.503479636,0,NETA
ETA,1.010274933,0.04081005,25.00990417,0.038942517,26.20928313,0.610772771,0,NETA
FUM,1.052519157,0.03763875,29.43234203,0.035852512,30.89871595,0.588428202,0,NETA
GUSEL,1.139991708,0.046166964,28.14958955,0.044055922,29.49844308,0.611256135,0,NETA
IFX,1.498306271,0.057251983,39.2112476,0.054587737,41.12501851,0.600374625,0,NETA
IXE,1.148600117,0.046384912,28.44205497,0.044262086,29.80614658,0.610720333,0,NETA
MTX,0.101154464,0.002169371,4.716679252,0.002051053,4.988767465,0.510122869,0,NETA
PBO,1.269662921,0.052610314,30.64121508,0.050221438,32.09872131,0.615656287,0,NETA
RISAN,0.920069125,0.036991675,22.88426252,0.035296451,23.98335146,0.6098783,0,NETA
SECU,1.344567689,0.054799738,32.99034513,0.052298813,34.56794079,0.612472744,0,NETA
SONELO,1.565669143,0.044381321,55.23314301,0.042131967,58.18194743,0.550059654,0,NETA
TILDRA,1.008199941,0.038001874,26.74781576,0.036226217,28.05888124,0.597873344,0,NETA
USK,1.222785312,0.049755151,30.05123868,0.047483319,31.48903579,0.612160905,0,NETA
ADA,1.017793822,0.623558431,1.66127858,0.619114843,1.673202114,4.000406823,0,USK
APRE,1.025378364,0.513803831,2.046307805,0.508647648,2.067051317,2.836569794,0,USK
BIME,0.536630454,0.251174116,1.14650446,0.248406137,1.15927991,2.581789707,0,USK
BRODA,1.070329166,0.609018201,1.881067794,0.60402611,1.896614245,3.475957806,0,USK
