Treatment,Reference,TE,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,direct,direct_lower,direct_upper,indirect,indirect_lower,indirect_upper
GUSEL,FUM,5.5346741567,2.5027548133,12.2395601271,2.4767430567,12.3681049341,2.4696315821,0,,,,0.1806791099,0.0817034741,0.39955388820000004
IFX,FUM,11.5082376074,3.573829277,37.0581587876,3.519233139,37.6330659538,1.6760367309,0,,,,0.08689427820000001,0.0269851909,0.27980589840000003
IXE,FUM,6.9321565307,3.131222667,15.3469744173,3.0986339411,15.5083804926,2.4661924159,0,,,,0.1442552538,0.0651603747,0.3193594014
MTX,FUM,1.5941734362000002,0.3166303059,8.0263603883,0.3099641315,8.1989775142,1.2125893051,0,0.5,0.047851476600000005,5.2244991689,0.7698315247,0.08280503700000001,7.1570594928
NETA,FUM,1.0309739413,0.3442513656,3.0875905623,0.3393162194,3.1324976726,1.7868748689,0,,,,0.9699566206,0.3238836677,2.9047955782
PBO,FUM,0.2296963494,0.1057687771,0.498827862,0.10469449060000001,0.5039464125,2.5273923769,0,4.4699646642,2.0078047258,9.9514578497,2.9032096769,0.12611163050000002,66.834647969
RISAN,FUM,6.6005762974,2.9778860708,14.6303808881,2.9468468289,14.7844832076,2.4624870056,0,,,,0.1515019227,0.0683519201,0.33580377180000004
SECU,FUM,6.0297751031,2.7284301959,13.325680037,2.700096304,13.4655151894,2.4716788178,0,,,,0.1658436646,0.07504416800000001,0.36650577700000003
SONELO,FUM,5.836155221,2.5599420799,13.3052650027,2.5323207802,13.450392237199999,2.3783879452,0,,,,0.1713456826,0.0751593555,0.39062792290000004
TILDRA,FUM,4.2626388683,1.8694686101,9.7193876504,1.849293822,9.8254208745,2.3779649141,0,,,,0.2345964626,0.1028886985,0.5349032603
USK,FUM,4.3400237867,1.9632218814,9.5943340116,1.9428265196,9.6950532015,2.4707141954000003,0,,,,0.2304134837,0.10422970220000001,0.5093593509000001
ADA,IXE,0.5744583914,0.5182199106,0.6368000085000001,0.5175175357,0.6376642736,19.0239585414,0,,,,1.7407701149,1.5703547108,1.9296790540000002
APRE,IXE,0.2546186845,0.1483934512,0.4368836629,0.1473425069,0.4399998064,3.6303027769,0,,,,3.9274415459,2.2889615837,6.7387750003
BIME,IXE,1.0025457024,0.905398596,1.1101164614,0.9041846131,1.111606934,19.2303046385,0,,,,0.9974607617000001,0.9008080752000001,1.1044838501
BRODA,IXE,0.7983130236,0.7051500192,0.903784537,0.7039990637,0.9052621183,15.7949611236,0,,,,1.2526414707,1.1064609309,1.4181347125000001
CERTO,IXE,0.43978317380000004,0.3277652811,0.5900845853000001,0.32649926030000004,0.5923726741,6.6670278455,0,,,,2.273847795,1.6946814525,3.0509472959
CICLO,IXE,0.23221053530000002,0.0432131231,1.2478092041,0.0422670843,1.2757381687,1.1656257795,0,,,,4.3064368235,0.8014293332,23.1404034595
DEUCRAVA,IXE,0.4634409038,0.0655598844,3.276050183,0.0638935608,3.3614885225,1.0021910728,0,,,,2.1577724191,0.3052565991,15.2526819277
ETA,IXE,0.352812803,0.3167717471,0.3929544699,0.3163227179,0.3935122801,18.1892188534,0,2.9128681397,2.5349915955,3.3470725562,2.7199045131,2.2931429077,3.2260878883
FUM,IXE,0.1442552538,0.0651594231,0.3193640652,0.0644812655,0.3227228576,2.4661924159,0,,,,6.9321565307,3.1312683947,15.3467502968
GUSEL,IXE,0.7984058254,0.7386686989,0.8629739733,0.7379128765,0.8638578921000001,25.2033269065,0,1.2931578948,1.1781390241,1.4194057803,1.1637656574,1.0104496924,1.3403443195
IFX,IXE,1.6601237373000002,0.6839756904000001,4.0293987956,0.6760380483,4.0767096325,2.2103807902,0,,,,0.602364738,0.24818002500000003,1.4620164435
MTX,IXE,0.2299678937,0.046269914100000004,1.1429723425,0.0453034802,1.1673547362,1.2223659849,0,,,,4.348433096,0.8749375877000001,21.6116791147
NETA,IXE,0.1487234076,0.0671627956,0.3293289352,0.0664635938,0.3327934994,2.4655055693,0,,,,6.7238911219,3.036522154,14.8889780895
PBO,IXE,0.0331349052,0.0278477413,0.039425888400000005,0.0277840873,0.0395162141,11.2750335311,0,37.6523842126,21.2453758815,66.7299107719,29.5085288172,24.587190085,35.4149160578
RISAN,IXE,0.9521678093,0.8486862965,1.0682669683000001,0.8474018813,1.0698861509,17.0358241196,0,,,,1.0502350429,0.9360975709,1.1782891865
SECU,IXE,0.8698267381,0.7982787066,0.9477874683,0.7973771893,0.94885904,22.8341762481,0,,,,1.1496542428,1.0550905247,1.2526933444
SONELO,IXE,0.8418960529,0.6618104508,1.0709848462,0.6597169399,1.074383453,8.1436822388,0,,,,1.1877950925,0.9337241569,1.5109999794
TILDRA,IXE,0.6149080520000001,0.48011752830000004,0.787540321,0.47855615160000003,0.7901098150000001,7.9210538294,0,,,,1.6262594005,1.2697820291,2.0828138824
USK,IXE,0.626071233,0.5731872507,0.6838344508,0.5725217301000001,0.6846293655,22.2092034122,0,1.4074129652,1.214197342,1.6313750543,1.7135904815,1.5349893156999999,1.9129724931
ADA,MTX,2.4979938814000002,0.5025967728,12.4154665727,0.4920990491,12.6803200342,1.2223604369,0,,,,0.4003212367,0.0805470707,1.9896079537
APRE,MTX,1.1071923147,0.2058052279,5.9564804754,0.2012966052,6.089893173,1.1648276134,0,,,,0.90318546,0.1678895656,4.8588128281
BIME,MTX,4.3595029127,0.8771655016000001,21.6666816153,0.8588445951,22.1288761131,1.2223889534,0,,,,0.2293839504,0.0461551742,1.1400021267
BRODA,MTX,3.4714107729,0.6976747285,17.272651942,0.683092451,17.641378904,1.2215161109000001,0,,,,0.2880673206,0.0578966964,1.4332904366
CERTO,MTX,1.9123677079,0.3762342151,9.720408467,0.3682670648,9.9307013859,1.2054969216,0,,,,0.522911988,0.1028794088,2.6578394101000002
