comparison,k,direct,direct_low,direct_up,nma,indirect,indirect_low,indirect_up,p-value
CERTO:FUM,0,,,,3.0486458002,3.0486458002,1.3173428238,7.0552942235,
CERTO:GUSEL,0,,,,0.5508266095000001,0.5508266095000001,0.4094681189,0.7409855364,
CERTO:IFX,0,,,,0.2649098762,0.2649098762,0.104957452,0.6686256306,
CERTO:IXE,0,,,,0.43978317380000004,0.43978317380000004,0.32776705170000003,0.5900813976,
CERTO:MTX,0,,,,1.9123677079,1.9123677079,0.3762454557,9.7201180642,
CERTO:NETA,0,,,,2.9570541778,2.9570541778,1.2774974742,6.8447645393,
CERTO:PBO,5,19.7279593038,8.2769902628,47.0210023131,13.2725043632,12.4690971935,8.8331138321,17.6017639732,0.3359232106
CERTO:RISAN,0,,,,0.46187570040000003,0.46187570040000003,0.3403513624,0.626790976,
CERTO:SECU,0,,,,0.5055985917,0.5055985917,0.37630471050000003,0.6793163327,
CERTO:SONELO,0,,,,0.5223722956,0.5223722956,0.36040904420000003,0.7571197771,
CERTO:TILDRA,0,,,,0.7152015206,0.7152015206,0.5011314396000001,1.0207166716,
CERTO:USK,0,,,,0.7024490994,0.7024490994,0.5226289273,0.9441397356000001,
CICLO:DEUCRAVA,0,,,,0.5010574885,0.5010574885,0.0384482361,6.5297821694,
CICLO:ETA,0,,,,0.6581692425,0.6581692425,0.1223879514,3.5394558589000003,
CICLO:FUM,0,,,,1.6097197787000002,1.6097197787000002,0.295897731,8.7570721052,
CICLO:GUSEL,0,,,,0.2908427367,0.2908427367,0.0541542353,1.5620107477,
CICLO:IFX,0,,,,0.1398754382,0.1398754382,0.0211808291,0.9237191852000001,
CICLO:IXE,0,,,,0.23221053530000002,0.23221053530000002,0.0432144583,1.2477706499,
CICLO:MTX,2,1.0097519769,0.6085697185,1.6754022159000002,1.0097519769,,,,
CICLO:NETA,0,,,,1.5613583567,1.5613583567,0.2470801602,9.8665951824,
CICLO:PBO,0,,,,7.0080337916,7.0080337916,1.3160008524,37.3195332911,
CICLO:RISAN,0,,,,0.24387564150000002,0.24387564150000002,0.0453596781,1.3111937951,
CICLO:SECU,0,,,,0.2669618271,0.2669618271,0.0497230902,1.4333102965,
CICLO:SONELO,0,,,,0.2758185342,0.2758185342,0.0506130548,1.5030877729,
CICLO:TILDRA,0,,,,0.3776345659,0.3776345659,0.0692914896,2.0580862985,
CICLO:USK,0,,,,0.370901142,0.370901142,0.0690722601,1.9916484103,
