unique_id,name,bias,year_publication,treat,treat_class,nPASI90,rPASI90,rAE,nAE,rSAE,nSAE,dlqi,sddlqi,ndlqi,age,male_percentage,weight,bmi
101,UltIMMa-1_2018  ,L,2018,PBO,PBO,102,5,52,102,3,102,0.2,3.03,102,48,0.71,NA,29.5
101,UltIMMa-1_2018  ,L,2018,RISAN,AIL23,304,229,151,304,7,304,-5.5999999,3.49,304,48,0.71,NA,29.5
101,UltIMMa-1_2018  ,L,2018,USK,AIL1223,100,42,50,100,8,100,-4.4000001,3,100,48,0.71,NA,29.5
102,UltIMMa-2_2018  ,L,2018,PBO,PBO,98,2,45,98,1,98,0,2.8800001,98,47,0.68,NA,31
102,UltIMMa-2_2018  ,L,2018,RISAN,AIL23,294,220,134,294,6,294,-6.4000001,3.4300001,294,47,0.68,NA,31
102,UltIMMa-2_2018  ,L,2018,USK,AIL1223,99,47,53,99,3,99,-5.5999994,2.98,99,47,0.68,NA,31
103,CIMPASI-1_2018,L,2018,CERTO,ATA,183,72,109,183,7,183,-9.2366123,7.5917954,183,46,0.69,93,31
103,CIMPASI-1_2018,L,2018,PBO,PBO,51,1,28,51,1,51,-3.3,6.9000001,51,46,0.69,93,31
104,CIMPASI-2_2018,L,2018,CERTO,ATA,178,95,114,178,6,178,-10.56236,7.7008982,178,45,0.56,93,31
104,CIMPASI-2_2018,L,2018,PBO,PBO,49,2,33,49,0,49,-2.9000001,6.5999999,49,45,0.56,93,31
114,ORION_2020 ,L,2019,GUSEL,AIL23,62,47,39,62,2,62,0,NA,62,46,0.68,NA,31
114,ORION_2020 ,L,2019,PBO,PBO,16,0,11,16,0,16,0,NA,16,46,0.68,NA,31
116,SustaIMM_2019,L,2019,PBO,PBO,58,1,33,58,1,58,0,NA,58,52,0.84,74,26.5
116,SustaIMM_2019,L,2019,RISAN,AIL23,113,85,61,113,4,113,0,NA,113,52,0.84,74,26.5
117,Ohtsuki_2017  ,L,2017,APRE,SM,170,18,93,170,4,170,-1.3,5.2156229,170,50.5,0.8,70,25
117,Ohtsuki_2017  ,L,2017,PBO,PBO,84,1,35,84,0,84,1.3,5.6999998,84,50.5,0.8,70,25
118,Ohtsuki_2018,M,2018,GUSEL,AIL23,128,90,59,128,2,128,-8.3984375,6.3996038,128,49,0.76,71,25
118,Ohtsuki_2018,M,2018,PBO,PBO,64,0,36,64,2,64,-0.80000001,5.4000001,64,49,0.76,71,25
120,BE ABLE 1_2018,L,2018,BIME,AIL17,208,142,126,208,1,208,0,NA,208,44,0.65,88,
120,BE ABLE 1_2018,L,2018,PBO,PBO,42,0,15,42,1,42,0,NA,42,44,0.65,88,
121,Papp_2017b,H,2017,RISAN,AIL23,126,78,97,126,11,126,0,NA,126,46,0.66,90,.
121,Papp_2017b,H,2017,USK,AIL1223,40,16,29,40,3,40,0,NA,40,46,0.66,90,.
122,Papp_2018,L,2018,DEUCRAVA,SM,222,69,149,222,3,222,-7.6100001,6.5,222,45,0.73,88,29
122,Papp_2018,L,2018,PBO,PBO,45,1,23,45,1,45,-2.8499999,5.0999999,45,45,0.73,88,29
123,TRANSFIGURE_2016,L,2018,PBO,PBO,65,1,40,65,2,65,0,NA,65,44,0.81,90.5,.
123,TRANSFIGURE_2016,L,2018,SECU,AIL17,133,84,0,133,4,133,0,NA,133,44,0.81,90.5,.
124,IXORA-S_2017  ,L,2017,IXE,AIL17,136,113,94,136,3,136,0,NA,136,43,0.67,87.5,29
124,IXORA-S_2017  ,L,2017,USK,AIL1223,166,98,125,166,5,166,0,NA,166,43,0.67,87.5,29
125,ReSURFACE-1_2017,L,2017,PBO,PBO,155,4,74,155,1,155,-2.3,5.0700002,155,47,0.69,88.5,.
125,ReSURFACE-1_2017,L,2017,TILDRA,AIL23,617,216,276,617,13,617,-9.8998384,5.8211408,617,47,0.69,88.5,.
126,ReSURFACE-2_2017,L,2017,ETA,ATA,313,67,169,313,7,313,-8.8999996,5.8600001,313,45,0.51,88.5,.
126,ReSURFACE-2_2017,L,2017,PBO,PBO,156,2,86,156,4,156,-2,5.7399998,156,45,0.51,88.5,.
126,ReSURFACE-2_2017,L,2017,TILDRA,AIL23,621,234,291,621,10,621,-10.250563,5.830843,621,45,0.51,88.5,.
128,CIMPACT_2018,M,2018,CERTO,ATA,332,108,160,332,5,332,0,NA,332,46,0.68,89,30
128,CIMPACT_2018,M,2018,ETA,ATA,170,46,78,170,1,170,0,NA,170,46,0.68,89,30
128,CIMPACT_2018,M,2018,PBO,PBO,57,0,32,57,5,57,0,NA,57,46,0.68,89,30
130,IMMvent_2019,L,2019,ADA,ATA,304,144,173,304,9,304,0,NA,304,46,0.7,90,30.5
130,IMMvent_2019,L,2019,RISAN,AIL23,301,218,168,301,10,301,0,NA,301,46,0.7,90,30.5
131,IMMhance_2020,L,2020,PBO,PBO,100,2,49,100,8,100,0,NA,100,49,0.7,90.5,30.5
131,IMMhance_2020,L,2020,RISAN,AIL23,407,298,186,407,8,407,0,NA,407,49,0.7,90.5,30.5
135,CARIMA_2019,H,2020,PBO,PBO,49,0,35,49,2,49,0,NA,49,45.200001,0.68,89,29
135,CARIMA_2019,H,2020,SECU,AIL17,102,27,65,102,1,102,0,NA,102,45.200001,0.68,89,29
136,VIP-U trial_2020,M,2020,PBO,PBO,21,0,5,21,0,21,-2.3399999,6.0900002,21,42.5,0.7,100.5,33.5
136,VIP-U trial_2020,M,2020,USK,AIL1223,22,9,7,22,0,22,-15.72,7.4400001,22,42.5,0.7,100.5,33.5
138,VIP-S trial_2020,L,2020,PBO,PBO,45,0,16,45,0,45,-0.5,3.97,45,47.5,0.67,94.5,32
138,VIP-S trial_2020,L,2020,SECU,AIL17,46,34,26,46,2,46,-9.3999996,7.9099998,46,47.5,0.67,94.5,32
139,ALLURE_2021,L,2021,PBO,PBO,71,1,29,71,2,71,0,NA,71,43.5,0.62,91,30.5
139,ALLURE_2021,L,2021,SECU,AIL17,143,98,72,143,1,143,0,NA,143,43.5,0.62,91,30.5
140,Umezawa_2021,L,2021,CERTO,ATA,101,66,66,101,2,101,-6.7801981,6.4950137,101,50,0.78,73,26.5
