Study ID,Year,Author,t,y1,y1bas,sd1,sd1bas,n1,y2,y2bas,sd2,sd2bas,n2,HTN stage,Intervention (weeks),rob,Age,Male %,Female %,BMI,Body fat %,Fasting glucose,Hba1c,eGFR
68,1997,Reisin,CONTROL,145.1,142.1,9.8668,,79,89,88.3,7.12,,79,3,12,M,50,49.5,51.5,32.25,,100.5,,
68,1997,Reisin,DRUGS,133.3,143.8,9.0644,,77,81.3,88.5,6.504,,77,3,12,M,50,49.5,51.5,32.25,,100.5,,
69,1997,Reisin,CONTROL,145.1,142.1,9.8668,,79,89,88.3,7.12,,79,3,12,M,50,44,56,32.35,,108,,
69,1997,Reisin,DRUGS,133.9,146.3,9.1052,,76,83.3,90,6.664,,76,3,12,M,50,44,56,32.35,,108,,
70,1998,Weir,CONTROL,140.8,141.1,9.5744,,40,88,88.5,7.04,,40,3,12,H,50.5,43.5,56.5,32.05,,,,
70,1998,Weir,DRUGS,133.5,145.5,9.078,,47,81.4,89.6,6.512,,47,3,12,H,50.5,43.5,56.5,32.05,,,,
71,1998,Weir,CONTROL,140.8,141.1,9.5744,,40,88,88.5,7.04,,40,3,12,H,50.5,58.5,41.5,31.95,,,,
71,1998,Weir,DRUGS,133.9,144.5,9.1052,,37,83.8,89.3,6.704,,37,3,12,H,50.5,58.5,41.5,31.95,,,,
72,2010,Blumenthal,CONTROL,134.6,138,9.5,9.5,49,82,85.8,6.2,6.2,49,2,16,M,51.96,33,67,33.1,,,,
72,2010,Blumenthal,DIET,126.4,137.6,9,9,46,78.6,86.1,6.1,6.1,46,2,16,M,51.96,33,67,33.1,,,,
72,2010,Blumenthal,EXE+DIET,122.6,138.7,8.2,8.2,49,75.6,85.5,6.8,6.8,49,2,16,M,51.96,33,67,33.1,,,,
73,2002,Miller,CONTROL,136,137.1,12.5,12.1,7,83,83.6,8.4,9.4,7,2,9,M,53.5,100,0,32.65,,,,
73,2002,Miller,EXE+DIET,124.8,135.3,14.5,11.1,9,77.7,83.6,9.4,8.6,9,2,9,M,53.5,100,0,32.65,,,,
74,2021,Hooshmand-Moghadam ,CONTROL,153.6,153.5,4.43,4.4,12,95.2,95.7,2.11,1.49,12,3,12,H,63.07,100,0,26.85,28.07,,,
74,2021,Hooshmand-Moghadam ,DIET,137.8,149.7,4.43,4.4,12,87.8,95.2,2.11,1.49,12,3,12,H,63.07,100,0,26.85,28.07,,,
74,2021,Hooshmand-Moghadam ,EXE,133.6,151.1,4.43,4.4,12,85.6,96.1,2.11,1.49,12,3,12,H,63.07,100,0,26.85,28.07,,,
74,2021,Hooshmand-Moghadam ,EXE+DIET,137.8,149.7,4.43,4.4,12,80.6,94.4,2.11,1.49,12,3,12,H,63.07,100,0,26.85,28.07,,,
75,2011,Edwards,CONTROL,135.6,137.6,9.9,11.5,15,84.7,88.2,8.5,9.2,15,2,12,M,46.46,48.3,51.7,30.43,,,,
75,2011,Edwards,EXE,133.9,140.6,10.9,9.8,25,85.6,89.8,8.7,11.2,25,2,12,M,46.46,48.3,51.7,30.43,,,,
75,2011,Edwards,EXE+DIET,127.8,139.9,11.6,10.5,12,78,85.1,10.7,10,12,2,12,M,46.46,48.3,51.7,30.43,,,,
76,2020,Kwasnicka,CONTROL,136.56,135.95,13.13,14.88,66,87.77,86.67,8.64,9.46,66,2,24,L,45.7,100,0,34.41,,,,
76,2020,Kwasnicka,EXE+DIET,136.58,139.8,14.73,18.81,64,87.22,87.95,10.17,10.17,64,2,24,L,45.7,100,0,34.41,,,,
77,2024,Li,CONTROL,134.71,132.46,12.83,12.83,109,81,80.26,9.05,9.05,109,2,12,H,52.64,64.3,35.7,27.17,,135.6,7.11,
77,2024,Li,DIET,131.08,132.12,12.8,12.8,109,77,78.87,9.5,9.5,109,2,12,H,52.64,64.3,35.7,27.17,,135.6,7.11,
77,2024,Li,EXE,134.56,135.4,12.53,12.53,108,79.61,81.35,8.68,8.68,108,2,12,H,52.64,64.3,35.7,27.17,,135.6,7.11,
78,1990,Oberman,CONTROL,142.57,153.08,9.69476,,79,85.7,93.9,6.856,,79,3,24,M,48.6,55.2,44.8,,,,,
78,1990,Oberman,DRUGS,124.52,143.4,8.46736,,75,82.07,93.9,6.5656,,75,3,24,M,48.6,55.2,44.8,,,,,
79,1990,Oberman,CONTROL,142.57,153.08,9.69476,,79,85.7,93.9,6.856,,79,3,24,M,48.6,55.2,44.8,,,,,
79,1990,Oberman,DRUGS,128.68,143.4,8.75024,,75,81.71,93.9,6.5368,,75,3,24,M,48.6,55.2,44.8,,,,,
80,1990,Oberman,CONTROL,139.05,150.94,9.4554,,84,84.42,93.9,6.7536,,84,3,24,M,48.6,55.2,44.8,,,,,
80,1990,Oberman,DRUGS+DIET,121.4,143.4,8.2552,,75,78.61,93.9,6.2888,,75,3,24,M,48.6,55.2,44.8,,,,,
81,1990,Oberman,CONTROL,139.05,150.94,9.4554,,84,84.42,93.9,6.7536,,84,3,24,M,48.6,55.2,44.8,,,,,
81,1990,Oberman,DRUGS+DIET,124.51,143.4,8.46668,,76,78.83,93.9,6.3064,,76,3,24,M,48.6,55.2,44.8,,,,,
82,1990,Oberman,CONTROL,134.05,143.4,9.1154,,69,85.9,93.9,6.872,,69,3,24,M,48.6,55.2,44.8,,,,,
82,1990,Oberman,DRUGS+DIET,123.82,143.4,8.41976,,78,81.96,93.9,6.5568,,78,3,24,M,48.6,55.2,44.8,,,,,
83,1990,Oberman,CONTROL,134.05,143.4,9.1154,,69,85.9,93.9,6.872,,69,3,24,M,48.6,55.2,44.8,,,,,
83,1990,Oberman,DRUGS+DIET,124.44,143.4,8.46192,,81,80.64,93.9,6.4512,,81,3,24,M,48.6,55.2,44.8,,,,,
