,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,TE2,seTE2,event12,n12,event22,n22,incr,allstudies,unique_id,studlab.orig,year,rob,sample_size,age,male_percentage,weight,bmi,effect_size1,outcome1_direction,effect_size2,outcome2_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,r11,r12,r21,r22
63,LIBERATE_2017,APRE,PBO,1.3982705521666063,0.6266687418332116,12,83,3,83,1.9578150515616317,1.5039627383294663,3,84,0,84,0.5,0,93,LIBERATE_2017,2016,2,250,45.0,0.63,88.5,29.5,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,12,3,3,0
64,LIBERATE_2017,ETA,PBO,1.7465772464348222,0.6067980784983188,17,83,3,83,1.6213428149404188,1.5414894201937233,2,84,0,84,0.5,0,93,LIBERATE_2017,2016,2,250,45.0,0.63,88.5,29.5,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,17,3,2,0
65,METOP_2017,MTX,PBO,2.364558852530779,1.4197812485635528,16,91,0,91,-2.5298580376502664,1.097510013799555,1,29,4,29,0.0,0,87,METOP_2017,2016,1,127,45.0,0.83,93.0,30,RR,beneficial,RR,harmful,MTX,PBO,CSA,PBO,16,0,1,4
66,Nakagawa_2016,BRODA,PBO,3.0690814243737172,0.9901816262707523,64,113,1,113,0.008810629682154906,1.139371750719459,3,38,1,38,0.0,0,75,Nakagawa_2016,2015,3,151,45.0,0.79,74.0,,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,64,1,3,1
67,NCT02762994,NETA,PBO,1.295322582914164,0.4124109791639763,60,92,5,92,,,0,28,0,28,0.5,0,162,NCT02762994,2021,1,120,40.5,0.66,82.0,26,RR,beneficial,RR,harmful,NETA,PBO,AIL17,PBO,60,5,0,0
68,NCT03055494 ObePso-S,PBO,SECU,-3.429240829511126,1.4072888693986352,0,28,29,28,0.6567795363890705,1.3949075939886468,1,54,1,54,0.0,0,147,NCT03055494 ObePso-S,2020,1,102,44.5,0.51,,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,29,1,1
69,NCT03364309,IXE,PBO,3.5502739856221406,0.699563670499312,277,350,2,350,-1.3805963400052528,0.8077412255455874,3,88,3,88,0.0,0,163,NCT03364309,2021,1,438,40.5,0.76,,,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,277,2,3,3
70,NCT03535194,PBO,SECU,-2.4546928711915035,0.3671020474391355,7,112,326,112,-1.7525387560747736,1.440776866293554,0,448,11,448,0.5,0,158,NCT03535194,2021,1,560,,0.7,,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,7,326,0,11
71,NCT03589885 MATURE,PBO,SECU,-2.6320642941242878,0.6930719570851956,2,40,57,40,-1.4857282581080775,1.4783131102971112,0,82,4,82,0.5,0,167,NCT03589885 MATURE,2021,1,122,,0.7,,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,2,57,0,4
72,Ohtsuki_2017  ,APRE,PBO,2.1853901196892167,1.0187092032123874,18,170,1,170,1.495240814975776,1.4847635502181142,4,84,0,84,0.5,0,117,Ohtsuki_2017  ,2017,1,254,50.5,0.8,70.0,25,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,18,1,4,0
